MEMBER ID,PICTURE,SEX,TITLE,FIRSTNAME,LASTNAME,MIDDLE NAME,FULLNAMES,ADDRESS,PROJECT,DATE OF BIRTH,SOCIAL STATUS,MONTHLY INCOME,CONTACT NO,WAIVER OF RIGHTS,STATUS,NOTES,DATE ENCODED,ENCODED BY,FB LINK,PAID,BENEFICIARY PROFILE,BIRTH CERTIFICATE,RESERVATION AGREEMENT,ID PICTURE,SINUMPAANG SALAYSAY,MARRIAGE CERTIFICATE,OCCUPATION,RELIGION,MEMBERSHIP FEE,PROCESSING FEE,YEARS TO PAY 1,Date Created,Created By,Date Updated,Updated By,Company Name,Office Address,FULLNAME,POSSIBLE_DUPLICATE
45,,,,Jon,Yang,K,,"Purok 8, Brgy. MEMBER ID, , FEMALE",MASAO,,Married,0.0,,False,Active,"WALA, PA COTRATA, WALA DIN SA ACTUAL SURVEY LISTT",2024-06-20,Ricz Gasul,,False,False,False,False,False,False,False,,,False,False,,,,2024-11-13,,,,Yang Jon,False
46,,FEMALE,Mrs.,Eugene,Huang,Q,,"Purok 6, Brgy. 46, ,",MASAO,1983-03-22,Married,30000.0,,True,Active,,2024-06-20,Ricz Gasul,,False,True,True,True,True,False,False,,,False,False,,,,,,,,Huang Eugene,False
47,,MALE,Mr.,Ruben,Torres,D,,"Purok 8, Brgy. 49, ,",MASAO,1978-08-01,Married,12000.0,,True,Active,,2024-06-20,Ricz Gasul,,False,True,False,True,True,False,True,TRICYCLE DRIVER,CATHOLIC,True,True,,,,,,,,Torres Ruben,False
48,,MALE,Mr.,Christy,Zhu,Y,,"Purok 10, Brgy. 46, , MALE",MASAO,1950-04-03,Married,50000.0,,True,Active,,2024-06-20,Ricz Gasul,,False,True,False,True,True,False,True,,RC,True,True,,,,,,,,Zhu Christy,False
49,,FEMALE,Mrs.,Elizabeth,Johnson,H,,"Purok 12, Brgy. 49, ,",MASAO,1979-06-04,Married,10000.0,,True,Active,,2024-06-20,Ricz Gasul,,False,True,True,True,True,True,False,NONE,CATHOLIC,True,True,,,,,,,,Johnson Elizabeth,False
50,,FEMALE,Mrs.,Julio,Ruiz,U,,"Purok 11, Brgy. 51, PICTURE,",MASAO,1962-11-30,Single,0.0,,True,Active,ANG LUPA DATI AY KAY TEOFILI ROMERO,2024-06-20,Ricz Gasul,,False,True,True,True,True,True,False,,CATHOLIC,False,False,,,,,,,,Ruiz Julio,False
51,,FEMALE,Mrs.,Janet,Alvarez,R,,"Purok 9, Brgy. 49, , FEMALE",MASAO,1952-04-18,Married,30000.0,,False,InActive,,2024-06-20,Ricz Gasul,,False,True,True,True,True,False,True,AFP SOLDIER,,False,False,,,,,,,,Alvarez Janet,False
52,,FEMALE,Mrs.,Marco,Mehta,A,,"Purok 4, Brgy. 49, , MALE",MASAO,1984-12-25,Married,0.0,,False,Active,,2024-06-20,Ricz Gasul,,False,False,True,False,True,False,False,,,False,False,,,,,,,,Mehta Marco,False
53,,MALE,Mr.,Rob,Verhoff,Y,,"Purok 9, Brgy. 45, ,",MASAO,,Married,0.0,,False,Active,,2024-06-20,Ricz Gasul,,False,False,False,False,False,False,False,,,False,False,,,,,,,,Verhoff Rob,False
54,,MALE,Mr.,Shannon,Carlson,X,,"Purok 2, Brgy. 47, , FEMALE",MASAO,1988-12-19,Single,15000.0,,True,Active,,2024-06-20,Ricz Gasul,,False,True,True,True,True,False,False,,CATHOLIC,True,True,,,,,,,,Carlson Shannon,False
55,,MALE,Mr.,Jacquelyn,Suarez,F,,"Purok 5, Brgy. 48, ,",MASAO,1979-10-23,Single,0.0,,False,Active,,2024-06-20,Ricz Gasul,,False,False,False,False,False,False,False,,,False,False,,,,,,,,Suarez Jacquelyn,False
56,,FEMALE,Mrs.,Curtis,Lu,L,,"Purok 8, Brgy. 51, , SEX",MASAO,1955-08-26,Married,0.0,,False,Active,,2024-06-20,Ricz Gasul,,False,False,False,False,False,False,False,,,False,False,,,,,,,,Lu Curtis,False
