MEMFEE ID,MEMBER,AMOUNT,PAYED DATE,CONTROL NO,REMARKS,DATE Created,Created By,Date Updated,Updated By,FLAG_EMPTY_RECORD,FLAG_MISSING_AMOUNT,FLAG_ZERO_AMOUNT,FLAG_MISSING_PAYED_DATE,FLAG_POSSIBLE_DUPLICATE_PAYMENT,MEMBER_FULLNAME,PROJECT,FLAG_MEMBER_NOT_FOUND
3,79.0,400.0,2023-02-28,,,2024-08-13,,,,False,False,False,False,False,Gonzalez Ebony,MASAO,False
4,1819.0,400.0,,,,2024-08-13,,,,False,False,False,True,False,Raman Carla,MASAO,False
5,62.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Wang Shannon,MASAO,False
6,86.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Carter Amanda,MASAO,False
7,72.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Zhao Jessie,MASAO,False
8,71.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Sai Harold,MASAO,False
9,75.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Yuan Bethany,MASAO,False
10,60.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Young Chloe,MASAO,False
11,504.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Zeng Alvin,MASAO,False
12,93.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Powell Jeremy,MASAO,False
13,64.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Lal Luke,MASAO,False
14,542.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Hernandez Edward,MASAO,False
15,76.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Ramos Theresa,MASAO,False
16,537.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Alvarez Javier,MASAO,False
17,92.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Lu Jaclyn,MASAO,False
18,58.0,400.0,2023-02-02,,,2024-08-13,,,,False,False,False,False,False,Jenkins Ian,MASAO,False
19,68.0,400.0,2023-03-12,005,,2024-08-13,,,,False,False,False,False,True,Edwards Seth,MASAO,False
20,101.0,400.0,2023-03-12,004,,2024-08-13,,,,False,False,False,False,False,Nath Michele,MASAO,False
21,68.0,400.0,2023-03-12,005,,2024-08-13,,,,False,False,False,False,True,Edwards Seth,MASAO,False
22,1820.0,400.0,2023-03-12,006,,2024-08-13,,,,False,False,False,False,False,Raji Shaun,MASAO,False
