MEMBER ID,PICTURE,SEX,Mr Mrs,FIRSTNAME,LASTNAME,MIDDLE NAME,FULLNAMES,ADDRESS,PROJECT,DATE OF BIRTH,SOCIAL STATUS,MONTHLY INCOME,CONTACT NO,WAIVER OF RIGHTS,STATUS,NOTES,DATE ENCODED,ENCODED BY,FB LINK,PAID,BENEFICIARY PROFILE,BIRTH CERTIFICATE,REVERVATION AGREEMENT,ID PICTURE,SINUMPAANG SALAYSAY,MARRIAGE CERTIFICATE,OCCUPATION,RELIGION,MEMBERSHIP FEE,PROCESSING FEE,YEARS TO PAY 1,Date Creted,Creadted by,Date Updated,Updated By,Company Name,Office Address
45,,,, Jon,Yang ,K,,"Purok 8, Brgy. MEMBER ID, , FEMALE",MASAO,,Married,0,9405637432,FALSE,Active,"WALA, PA COTRATA, WALA DIN SA ACTUAL SURVEY LISTT",20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,13/11/2024,,,
46,,FEMALE,Mrs.,Eugene,Huang  ,Q,,"Purok 6, Brgy. 46, , ",MASAO,22/03/1983,Married,30000,9436511201,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
47,,MALE,Mr.,Ruben, Torres,D,,"Purok 8, Brgy. 49, , ",MASAO,01/08/1978,Married,12000,9930133788,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRICYCLE DRIVER,CATHOLIC,TRUE,TRUE,,,,,,,
48,,MALE,Mr.,Christy,  Zhu,Y,,"Purok 10, Brgy. 46, , MALE",MASAO,03/04/1950,Married,50000,9152543723,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,RC,TRUE,TRUE,,,,,,,
49,,FEMALE,Mrs., Elizabeth,Johnson,H,,"Purok 12, Brgy. 49, , ",MASAO,04/06/1979,Married,10000,9761076026,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NONE,CATHOLIC,TRUE,TRUE,,,,,,,
50,,FEMALE,Mrs.,Julio,Ruiz,U,,"Purok 11, Brgy. 51, PICTURE, ",MASAO,30/11/1962,Single,0,9630012102,TRUE,Active,ANG LUPA DATI AY KAY TEOFILI ROMERO,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,CATHOLIC,FALSE,FALSE,,,,,,,
51,,FEMALE,Mrs.,Janet,Alvarez,R,,"Purok 9, Brgy. 49, , FEMALE",MASAO,18/04/1952,Married,30000,9298731082,FALSE,InActive,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,AFP SOLDIER,,FALSE,FALSE,,,,,,,
52,,FEMALE,Mrs.,Marco,Mehta,A,,"Purok 4, Brgy. 49, , MALE",MASAO,25/12/1984,Married,0,9932495766,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
53,,MALE,Mr.,Rob,Verhoff,Y,,"Purok 9, Brgy. 45, , ",MASAO,,Married,0,9312763053,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
54,,MALE,Mr.,Shannon,Carlson,X,,"Purok 2, Brgy. 47, , FEMALE",MASAO,19/12/1988,Single,15000,9494147209,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,CATHOLIC,TRUE,TRUE,,,,,,,
55,,MALE,Mr.,Jacquelyn,Suarez,F,,"Purok 5, Brgy. 48, , ",MASAO,23/10/1979,Single,0,9745102329,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
56,,FEMALE,Mrs.,Curtis,Lu,L,,"Purok 8, Brgy. 51, , SEX",MASAO,26/08/1955,Married,0,9660423995,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
57,,MALE,Mr.,  Lauren, Walker,L,,"Purok 9, Brgy. 47, , FEMALE",MASAO,02/06/1991,Single,22000,9597240665,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FACTORY WORKER,,FALSE,FALSE,,,,,,,
58,,FEMALE,Mrs., Ian , Jenkins ,U,,"Purok 7, Brgy. 45, , ",MASAO,,,,9823842826,FALSE,,,20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,13/11/2024,Michael,,
59,,FEMALE,Mrs.,Sydney,Bennett,B,,"Purok 1, Brgy. 47, , FEMALE",MASAO,20/04/2017,,0,9679779699,FALSE,Active,,20/06/2024,Ricz Gasul,#https://www.facebook.com/trinidad.ferol/photos#,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
60,,FEMALE,,  Chloe,Young,O,,"Purok 12, Brgy. 46, , FEMALE",MASAO,14/02/1970,Married,19800,9170611417,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,MASON,,TRUE,TRUE,,,,,,,
61,,MALE,Mr.,Wyatt,Hill,R,,"Purok 10, Brgy. MEMBER ID, , SEX",MASAO,14/02/1979,Married,16000,9789400144,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FACTORY WORKER,CATHOLIC,TRUE,TRUE,,,,,,,
62,,MALE,Mr.,Shannon,Wang,L,,"Purok 5, Brgy. 45, , SEX",MASAO,12/04/1957,Married,15000,9377295902,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,
63,,FEMALE,Mrs.,Clarence,Rai,J,,"Purok 4, Brgy. 50, , ",MASAO,26/02/1955,Single,0,9954006549,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,,,,
64,,FEMALE,Mrs.,Luke,Lal,E,,"Purok 11, Brgy. MEMBER ID, , FEMALE",MASAO,26/02/1955,Married,4000,9717923610,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,CATHOLIC,TRUE,TRUE,,,,,,,
65,,MALE,Mr.,Jordan,King,A,,"Purok 8, Brgy. 52, , MALE",MASAO,21/01/1965,Married,12000,9404348148,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,
66,,FEMALE,Ms, Destiny,Wilson ,L,,"Purok 8, Brgy. 46, , MALE",MASAO,03/10/1991,,0,9538408496,FALSE,Active,,20/06/2024,Ricz Gasul,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,,,,13/11/2024,Michael,,
67,,FEMALE,Mrs.,Ethan,Zhang,P,,"Purok 1, Brgy. MEMBER ID, , FEMALE",MASAO,06/07/1970,Single,0,9805089875,TRUE,Active,,20/06/2024,Ricz Gasul,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FACTORY WORKER,RIC,TRUE,TRUE,,,,,,,
